Date : 2024-01-21 10:05:09
Directory : s:\Documents\GitHub\ProStartup-Learn\courses
Total : 542 files,  19947 codes, 462 comments, 652 blanks, all 21061 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-name.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-referrerpolicy.html           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-sandbox.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-src.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-iframe-srcdoc.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-alt.html                         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-crossorigin.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-decoding.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-elementtiming.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-fetchpriority.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-height-and-width.html            | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-ismap.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-loading.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-referrerpolicy.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-src.html                         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-srcset.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-img-usemap.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-accept.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-alt.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-autocapitalize.html            | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-autocomplete.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-capture.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-checked.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-disabled.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-form.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-formaction.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-formmethod.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-id.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-list.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-max.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-maxlength.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-min.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-minlegth.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-multiple.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-name.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-placeholder.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-required.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-size.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-type.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input-value.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-input.html                           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-ins-cite.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-ins-datetime.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-label-for.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-li-value.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-as.html                         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-blocking.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-crossorigin.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-disabled.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-fetchpriority.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-href.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-hreflang.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-imagesizes.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-imagesrcset.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-integrity.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-media.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-prefetch.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-referrerpolicy.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-rel.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-sizes.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-title.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-type.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-link-value.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-map-name.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meta-charset.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meta-content.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meta-http-equiv.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-high.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-low.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-max.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-min.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-optimum.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-meter-value.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-data.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-form.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-height.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-name.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-type.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-usemap.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-object-width.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-ol-reversed.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-ol-start.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-ol-type.html                         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-optgroup-disabled.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-optgroup-label.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-option-disabled.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-option-label.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-option-selected.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-option-value.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-output-for.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-output-form.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-output-name.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-portal-referrerpolicy.html           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-portal-src.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-progress-max.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-progress-value.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-q-cite.html                          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-blocking.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-crossorigin.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-defer.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-fetchpriority.html            | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-integrity.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-nomodule.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-nonce.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-referrerpolicy.html           | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-src.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-script-type.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-autocomplete.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-autofocus.html                | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-disabled.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-form.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-id.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-multiple.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-name.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-required.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-size.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-select-value.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-slot-name.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-height-width.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-media.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-sizes.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-src.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-srcset.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-source-type.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-style-media.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-style-nonce.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-style-title.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-table-autofocus.html                 | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-td-colspan.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-td-headers.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-td-rowspan.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-cols.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-disabled.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-form.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-maxlength.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-minlength.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-name.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-placeholder.html            | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-readonly.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-required.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-rows.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-spellcheck.html             | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-textarea-wrap.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-th-abbr.html                         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-th-headers.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-th-scope.html                        | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-time-datetime.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-track-default.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-track-kind.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-track-label.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-track-src.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-track-srcset.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-autoplay.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-controls.html                  | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-controlslist.html              | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-crossorigin.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-disablepictureinpicture.html   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-disableremoteplayback.html     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-height-and-width.html          | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-loop.html                      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-muted.html                     | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-playsinline.html               | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-poster.html                    | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-preload.html                   | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\att-video-src.html                       | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\html3_2\att-1-border-global.html         | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\html4_0\att-iframe-frameborder.html      | HTML     |          0 |          0 |          1 |          1 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-DOCTYPE.html                         | HTML     |         76 |          4 |          0 |         80 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE.html                       | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE02.html                     | HTML     |         14 |          0 |          0 |         14 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE03.html                     | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE04.html                     | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE05.html                     | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE06.html                     | HTML     |         12 |          0 |          0 |         12 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a-EXAMPLE07.html                     | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-a.html                               | HTML     |        244 |          4 |          0 |        248 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-abbr-EXAMPLE.html                    | HTML     |         11 |          0 |          0 |         11 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-abbr.html                            | HTML     |         86 |          4 |          0 |         90 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-address-EXAMPLE.html                 | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-address.html                         | HTML     |         90 |          4 |          0 |         94 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-area-EXAMPLE.html                    | HTML     |         15 |          0 |          0 |         15 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-area.html                            | HTML     |        166 |          4 |          0 |        170 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-article-EXAMPLE.html                 | HTML     |         13 |          0 |          0 |         13 |
| s:\Documents\GitHub\ProStartup-Learn\courses\cs\web-development\front-end\html\list\tag-article-EXAMPLE02.html               | HTML     |         15 |          0 |          0 |         15 |
